paper,referrer
https://cms.nil.foundation/uploads/zk_Sharding_Manifesto_8286652990.pdf,
https://cms.nil.foundation/uploads/placeholder_reasearch_2023_c5cd673c14.pdf,
https://cms.nil.foundation/uploads/zkllvm_a27f4af786.pdf,
https://cms.nil.foundation/uploads/dbms_563e48c151.pdf,
https://lamport.azurewebsites.net/pubs/byz.pdf,
https://pmg.csail.mit.edu/papers/osdi99.pdf,
https://fc24.ifca.ai/preproceedings/193.pdf,
https://docs.eigenlayer.xyz/assets/files/EigenLayer_WhitePaper-88c47923ca0319870c611decd6e562ad.pdf,
https://res.cloudinary.com/drw/image/upload/v1686158824/comm-cumberland/uploads/Cumberland-Research-The-Growth-Potential-of-Non-USD-Stablecoins_wzlijy.pdf,
https://res.cloudinary.com/drw/image/upload/v1671659363/comm-cumberland/uploads/Cumberland_A_Year_In_Review_2022-min_2_erljns.pdf,
https://www.mit.edu/~zhuh/YangZhu_backrunning_RFS.pdf,https://twitter.com/0xflashmine/status/1777777793629139037
https://people.math.ethz.ch/~delbaen/ftp/preprints/Extended_Osaka_Notes.pdf,https://twitter.com/0xflashmine/status/1770464621721231365
https://moallemi.com/ciamac/papers/pricing-dutch-auctions-2024.pdf ,https://x.com/ciamac/status/1796584842966204714?s=46&t=LTSoDWXLa08Oi2VCOCK2Yg
